EID,Angle1,Angle2,Filename_y,Coordinate,Filename
sub-NDARAT299YRR,205.68,88.66,,,sub-NDARAT299YRR-205.68-88.66-curv.png
sub-NDARED945TNQ,204.13,78.38,,,sub-NDARED945TNQ-204.13-78.38-curv.png
sub-NDARWE145GN9,210.54,85.14,,,sub-NDARWE145GN9-210.54-85.14-curv.png
sub-NDARHD507TEF,202.31,77.16,,,sub-NDARHD507TEF-202.31-77.16-curv.png
sub-NDARWP595TE6,208.28,75.05,,,sub-NDARWP595TE6-208.28-75.05-curv.png
sub-NDARCF052AE0,207.2,104.32,,,sub-NDARCF052AE0-207.2-104.32-curv.png
sub-NDAREC182WW2,217.19,75.2,,,sub-NDAREC182WW2-217.19-75.2-curv.png
sub-NDARLB017MBJ,207.54,94.5,,,sub-NDARLB017MBJ-207.54-94.5-curv.png
sub-NDARGU667MCK,209.89,76.6,,,sub-NDARGU667MCK-209.89-76.6-curv.png
sub-NDAREK395BM3,196.81,90.17,,,sub-NDAREK395BM3-196.81-90.17-curv.png
sub-NDARJM828PAL,195.36,82.48,,,sub-NDARJM828PAL-195.36-82.48-curv.png
sub-NDARHC737MHK,196.95,96.61,,,sub-NDARHC737MHK-196.95-96.61-curv.png
sub-NDARCV628UUW,195.96,86.28,,,sub-NDARCV628UUW-195.96-86.28-curv.png
sub-NDARWA433WYZ,211.16,97.65,,,sub-NDARWA433WYZ-211.16-97.65-curv.png
sub-NDARKE604RXR,210.21,89.03,,,sub-NDARKE604RXR-210.21-89.03-curv.png
sub-NDARKD590VF4,222.69,91.64,,,sub-NDARKD590VF4-222.69-91.64-curv.png
sub-NDARVG436WGG,195.77,100.51,,,sub-NDARVG436WGG-195.77-100.51-curv.png
sub-NDARLL968KK1,218.95,92.82,,,sub-NDARLL968KK1-218.95-92.82-curv.png
sub-NDARGL289TB8,196.89,96.2,,,sub-NDARGL289TB8-196.89-96.2-curv.png
sub-NDARKW999WZD,219.56,78.51,,,sub-NDARKW999WZD-219.56-78.51-curv.png
sub-NDARJT615WM7,196.72,98.78,,,sub-NDARJT615WM7-196.72-98.78-curv.png
sub-NDARWF090RZ7,212.27,102.45,,,sub-NDARWF090RZ7-212.27-102.45-curv.png
sub-NDARGL834CMQ,215.54,102.11,,,sub-NDARGL834CMQ-215.54-102.11-curv.png
sub-NDARHR753ZKU,220.44,104.66,,,sub-NDARHR753ZKU-220.44-104.66-curv.png
sub-NDARXC055JGA,202.83,78.85,,,sub-NDARXC055JGA-202.83-78.85-curv.png
sub-NDARNK768THB,222.54,102.79,,,sub-NDARNK768THB-222.54-102.79-curv.png
sub-NDARFD213GMJ,207.84,96.33,,,sub-NDARFD213GMJ-207.84-96.33-curv.png
sub-NDARAJ366ZFA,212.54,85.48,,,sub-NDARAJ366ZFA-212.54-85.48-curv.png
sub-NDARCD182XT1,199.77,102.59,,,sub-NDARCD182XT1-199.77-102.59-curv.png
sub-NDARYT332LMM,209.93,90.04,,,sub-NDARYT332LMM-209.93-90.04-curv.png
sub-NDARZV132DRG,215.32,94.56,,,sub-NDARZV132DRG-215.32-94.56-curv.png
sub-NDARJH925ZCD,197.71,99.13,,,sub-NDARJH925ZCD-197.71-99.13-curv.png
sub-NDARPH176EWC,203.97,77.68,,,sub-NDARPH176EWC-203.97-77.68-curv.png
sub-NDARUU991VRE,223.62,94.32,,,sub-NDARUU991VRE-223.62-94.32-curv.png
sub-NDARJD704KEM,195.89,77.79,,,sub-NDARJD704KEM-195.89-77.79-curv.png
sub-NDARHV260FPW,218.86,75.0,,,sub-NDARHV260FPW-218.86-75.0-curv.png
sub-NDARKA946MJ1,205.67,93.17,,,sub-NDARKA946MJ1-205.67-93.17-curv.png
sub-NDARHT019ER6,223.39,93.19,,,sub-NDARHT019ER6-223.39-93.19-curv.png
sub-NDARKK564DB0,219.06,88.63,,,sub-NDARKK564DB0-219.06-88.63-curv.png
sub-NDARJY033DKZ,215.71,102.83,,,sub-NDARJY033DKZ-215.71-102.83-curv.png
sub-NDARWT086XMF,219.73,92.5,,,sub-NDARWT086XMF-219.73-92.5-curv.png
sub-NDARJA788CH7,222.27,92.67,,,sub-NDARJA788CH7-222.27-92.67-curv.png
sub-NDARKC880ZHY,200.13,91.4,,,sub-NDARKC880ZHY-200.13-91.4-curv.png
sub-NDARTG035JK8,209.34,103.44,,,sub-NDARTG035JK8-209.34-103.44-curv.png
sub-NDARLP624GFH,220.02,86.35,,,sub-NDARLP624GFH-220.02-86.35-curv.png
sub-NDARKW999WZD,209.25,91.81,,,sub-NDARKW999WZD-209.25-91.81-curv.png
sub-NDARPR768KT4,223.88,103.02,,,sub-NDARPR768KT4-223.88-103.02-curv.png
sub-NDAREX065KJU,202.48,103.75,,,sub-NDAREX065KJU-202.48-103.75-curv.png
sub-NDAREE543HYQ,207.73,87.78,,,sub-NDAREE543HYQ-207.73-87.78-curv.png
sub-NDARZW472CCF,195.8,96.9,,,sub-NDARZW472CCF-195.8-96.9-curv.png
sub-NDARHE283KZN,199.85,94.31,,,sub-NDARHE283KZN-199.85-94.31-curv.png
sub-NDARMC473UHD,199.29,101.28,,,sub-NDARMC473UHD-199.29-101.28-curv.png
sub-NDARPV145KGL,198.92,83.2,,,sub-NDARPV145KGL-198.92-83.2-curv.png
sub-NDARGK253TTG,213.32,92.95,,,sub-NDARGK253TTG-213.32-92.95-curv.png
sub-NDARVG461LA2,211.76,93.14,,,sub-NDARVG461LA2-211.76-93.14-curv.png
sub-NDARZU822WN3,214.28,95.55,,,sub-NDARZU822WN3-214.28-95.55-curv.png
sub-NDARDL511UND,204.19,99.88,,,sub-NDARDL511UND-204.19-99.88-curv.png
sub-NDARRP818DWL,205.16,83.43,,,sub-NDARRP818DWL-205.16-83.43-curv.png
sub-NDARYN484LLR,206.79,96.9,,,sub-NDARYN484LLR-206.79-96.9-curv.png
sub-NDARRJ130PV7,198.43,102.01,,,sub-NDARRJ130PV7-198.43-102.01-curv.png
sub-NDARPP726XBF,205.87,78.49,,,sub-NDARPP726XBF-205.87-78.49-curv.png
sub-NDARLR030EW6,202.25,83.0,,,sub-NDARLR030EW6-202.25-83.0-curv.png
sub-NDARFC203HCD,221.44,75.79,,,sub-NDARFC203HCD-221.44-75.79-curv.png
sub-NDARFF644ZGD,206.83,89.41,,,sub-NDARFF644ZGD-206.83-89.41-curv.png
sub-NDARAT982JTU,196.0,87.71,,,sub-NDARAT982JTU-196.0-87.71-curv.png
sub-NDARVX547MA0,195.94,78.88,,,sub-NDARVX547MA0-195.94-78.88-curv.png
sub-NDARXR123PFR,217.29,102.08,,,sub-NDARXR123PFR-217.29-102.08-curv.png
sub-NDARFW670TY2,199.01,103.3,,,sub-NDARFW670TY2-199.01-103.3-curv.png
sub-NDARPV303LAX,195.39,86.46,,,sub-NDARPV303LAX-195.39-86.46-curv.png
sub-NDARWP595TE6,199.45,101.24,,,sub-NDARWP595TE6-199.45-101.24-curv.png
sub-NDARFL411AT1,214.52,79.14,,,sub-NDARFL411AT1-214.52-79.14-curv.png
sub-NDARYG874EKA,208.68,87.35,,,sub-NDARYG874EKA-208.68-87.35-curv.png
sub-NDARHM273AXL,199.11,99.66,,,sub-NDARHM273AXL-199.11-99.66-curv.png
sub-NDARJL656RDA,224.06,100.49,,,sub-NDARJL656RDA-224.06-100.49-curv.png
sub-NDARUZ200NRJ,215.16,93.02,,,sub-NDARUZ200NRJ-215.16-93.02-curv.png
sub-NDARAZ681CYF,202.49,75.4,,,sub-NDARAZ681CYF-202.49-75.4-curv.png
sub-NDARZH366BF8,217.16,91.21,,,sub-NDARZH366BF8-217.16-91.21-curv.png
sub-NDARZV983XK9,211.55,89.53,,,sub-NDARZV983XK9-211.55-89.53-curv.png
sub-NDARRV097NU1,207.8,93.23,,,sub-NDARRV097NU1-207.8-93.23-curv.png
sub-NDARCL016NHB,222.32,88.29,,,sub-NDARCL016NHB-222.32-88.29-curv.png
sub-NDARHM611GDR,222.07,79.42,,,sub-NDARHM611GDR-222.07-79.42-curv.png
